"country","CostOfElectricity_ElectricityCost_USDPerkWh_2024March","CostOfElectricity_ElectricityCost_USDPerkWh_2023March","CostOfElectricity_ElectricityCost_USDPerkWh_2022Sept"
"India",0.077,0.0731,0.074
"China",0.078,0.0791,0.078
"United States",0.184,0.1751,0.18
"Indonesia",0.095,0.0951,0.096
"Pakistan",0.07,0.0371,0.046
"Nigeria",0.014,0.0491,0.03
"Brazil",0.154,0.1971,0.175
"Bangladesh",0.054,0.0541,0.052
"Russia",0.058,0.0641,0.059
"Ethiopia",0.003,0.0061,0.006
"Mexico",0.1,0.0971,0.104
"Japan",0.221,0.2461,0.247
"Egypt",0.019,0.0271,0.027
"Philippines",0.202,0.1841,0.176
"DR Congo",0.058,0.0811,0.07
"Vietnam",0.076,0.0791,0.08
"Iran",0.002,0.0051,0.002
"Turkey",0.048,0.0771,0.073
"Germany",0.365,0.5201,0.557
"Thailand",0.133,0.1121,0.121
"United Kingdom",0.368,0.4711,0.421
"Tanzania",0.084,0.0981,0.096
"France",0.315,0.2141,0.218
"South Africa",0.191,0.1511,0.151
"Italy",0.457,0.4611,0.579
"Kenya",0.256,0.1721,0.156
"Colombia",0.211,0.1371,0.167
"South Korea",0.131,0.0931,0.101
"Sudan",0.006,0.0091,0.008
"Uganda",0.173,0.1631,0.164
"Spain",0.226,0.3661,0.371
"Algeria",0.04,0.0391,0.039
"Iraq",0.015,0.0131,0.015
"Argentina",0.02,0.0331,0.032
"Afghanistan",0.055,0.0421,0.043
"Canada",0.126,0.1121,0.121
"Poland",0.241,0.1781,0.194
"Morocco",0.121,0.1131,0.117
"Angola",0.013,0.0231,0.016
"Ukraine",0.064,0.0391,0.039
"Uzbekistan",0.023,0.0261,0.026
"Malaysia",0.054,0.0491,0.048
"Mozambique",0.127,0.1271,0.127
"Ghana",0.108,0.0291,0.033
"Peru",0.187,0.2251,0.242
"Saudi Arabia",0.053,0.0481,0.048
"Madagascar",0.128,0.1361,0.13
"Ivory Coast",0.136,0.1171,0.121
"Nepal",0.043,0.0441,0.044
"Cameroon",0.085,0.0811,0.083
"Venezuela",0.046,0.1731,0.045
"Australia",0.273,0.2151,0.238
"Syria",0.006,0.0141,0.005
"Mali",0.223,0.2121,0.218
"Burkina Faso",0.21,0.2001,0.206
"Taiwan",0.092,0.0921,0.095
"Sri Lanka",0.181,0.0411,0.05
"Malawi",0.065,0.1091,0.109
"Zambia",0.021,0.0281,0.029
"Kazakhstan",0.05,0.0451,0.045
"Chile",0.174,0.1731,0.194
"Romania",0.179,0.1721,0.176
"Senegal",0.186,0.1671,0.172
"Guatemala",0.298,0.2711,0.281
"Netherlands",0.266,0.3411,0.491
"Ecuador",0.097,0.0961,0.096
"Cambodia",0.15,0.1501,0.148
"Zimbabwe",,0.0051,0.015
"Rwanda",0.193,0.2361,0.223
"Tunisia",0.069,0.0671,0.068
"Belgium",0.365,0.4441,0.524
"Jordan",0.09,0.1001,0.09
"Dominican Republic",0.113,0.1231,0.124
"United Arab Emirates",0.08,0.0811,0.079
"Cuba",0.006,0.0301,0.03
"Honduras",0.231,0.2311,0.231
"Czech Republic",0.359,0.3651,0.453
"Sweden",0.224,0.2871,0.348
"Portugal",0.234,0.2661,0.295
"Azerbaijan",0.047,0.0471,0.047
"Greece",0.223,0.1981,0.273
"Hungary",0.109,0.1051,0.115
"Togo",0.197,0.1871,0.193
"Israel",0.173,0.1591,0.16
"Austria",0.36,0.4621,0.502
"Belarus",0.075,0.0921,0.091
"Switzerland",0.404,0.2291,0.234
"Sierra Leone",0.253,0.0821,0.081
"Laos",0.027,0.0351,0.032
"Hong Kong",0.181,0.1631,0.173
"Libya",0.008,0.0041,0.01
"Kyrgyzstan",0.013,0.0101,0.01
"Paraguay",0.052,0.0551,0.056
"Nicaragua",0.176,0.1731,0.174
"Bulgaria",0.147,0.1301,0.14
"Serbia",0.134,0.0921,0.105
"El Salvador",0.224,0.2441,0.24
"Denmark",0.384,0.5291,0.579
"Singapore",0.254,0.2221,0.238
"Lebanon",0.137,0.0021,0.001
"Finland",0.186,0.2351,0.456
"Norway",0.172,0.1331,0.129
"Slovakia",0.215,0.1991,0.207
"Oman",0.026,0.0261,0.026
"Ireland",0.439,0.3301,0.426
"New Zealand",0.22,0.1881,0.191
"Costa Rica",0.175,0.1551,0.161
"Kuwait",0.029,0.0291,0.029
"Panama",0.18,0.1761,0.18
"Croatia",0.167,,
"Georgia",0.062,0.0761,0.077
"Uruguay",0.243,0.2431,0.25
"Bosnia and Herzegovina",0.1,0.0961,0.101
"Qatar",0.032,0.0321,0.033
"Moldova",0.138,0.1151,0.147
"Namibia",0.15,0.1351,0.109
"Armenia",0.112,0.1031,0.104
"Lithuania",0.267,0.3601,0.502
"Jamaica",0.292,0.3301,0.325
"Albania",0.129,0.1051,0.116
"Gabon",0.21,0.1991,0.205
"Botswana",0.097,0.0951,0.096
"Lesotho",0.107,0.0921,0.092
"Slovenia",0.242,0.2681,0.295
"Latvia",0.256,0.2951,0.317
"North Macedonia",0.131,0.1011,0.117
"Bahrain",0.048,0.0481,0.048
"Trinidad and Tobago",0.052,0.0521,0.052
"Estonia",0.291,0.3191,0.393
"Cyprus",0.312,0.2701,0.382
"Mauritius",0.134,0.1311,0.132
"Eswatini",0.123,0.0951,0.098
"Bhutan",0.015,0.0151,0.016
"Macau",0.156,0.1511,0.158
"Luxembourg",0.234,0.2391,0.24
"Suriname",0.066,0.0101,0.016
"Malta",0.149,0.1421,0.146
"Maldives",0.097,0.1431,0.15
"Cape Verde",0.32,0.3041,0.313
"Belize",0.217,0.2171,0.218
"Bahamas",0.346,0.2621,0.26
"Iceland",0.169,0.1371,0.15
"Barbados",0.373,0.3301,0.273
"Aruba",0.212,0.1851,0.183
"Cayman Islands",0.433,0.3661,0.444
"Bermuda",0.458,0.3951,0.46
"Liechtenstein",0.408,0.2731,0.29
